file,batch,file_name,site,temp_id,population,n_coor,w_coor,year,date,time,day_night,distance,weather,wind,temperature,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),syllable,delta_time
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,131,Waveform 1,2,25.47553164,25.47553164,0,48000,i,0.012028198
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,137,Waveform 1,2,25.85636696,25.85636696,0,48000,j,0.008621327
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,138,Waveform 1,2,25.86498829,25.86498829,0,48000,j,0.009073148
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,139,Waveform 1,2,25.87406144,25.87406144,0,48000,j,0.010866261
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,140,Waveform 1,2,25.8849277,25.8849277,0,48000,j,0.00740914
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,141,Waveform 1,2,25.89233684,25.89233684,0,48000,j,0.01113164
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,142,Waveform 1,2,25.90346848,25.90346848,0,48000,j,0.006412169
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,143,Waveform 1,2,25.90988065,25.90988065,0,48000,j,0.010665433
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,144,Waveform 1,2,25.92054608,25.92054608,0,48000,j,0.008872265
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,145,Waveform 1,2,25.92941835,25.92941835,0,48000,j,0.009216597
